year,value,indicator_name,country
2025,114209905278.717,GDP in current USD,Ghana
2024,83288585604.0268,GDP in current USD,Ghana
2023,80547146875.9526,GDP in current USD,Ghana
2022,73919003212.1998,GDP in current USD,Ghana
2021,79514204730.3979,GDP in current USD,Ghana
2020,70008243859.8666,GDP in current USD,Ghana
2019,68352629246.1555,GDP in current USD,Ghana
2018,67259353965.6087,GDP in current USD,Ghana
2017,60385409434.8567,GDP in current USD,Ghana
2016,56144179397.8516,GDP in current USD,Ghana
2015,49436806230.4839,GDP in current USD,Ghana
2014,54678533805.9064,GDP in current USD,Ghana
2013,62845721959.827,GDP in current USD,Ghana
2012,41271701060.954,GDP in current USD,Ghana
2011,39336668080.559,GDP in current USD,Ghana
2010,32197655566.5347,GDP in current USD,Ghana
2009,26048720005.5233,GDP in current USD,Ghana
2008,28679383241.0729,GDP in current USD,Ghana
2007,24827339138.4906,GDP in current USD,Ghana
2006,20885037596.6963,GDP in current USD,Ghana
2005,10744568381.4456,GDP in current USD,Ghana
2004,8881417906.71432,GDP in current USD,Ghana
2003,7632723555.66221,GDP in current USD,Ghana
2002,6166197847.85031,GDP in current USD,Ghana
2001,5314872854.4405,GDP in current USD,Ghana
2000,4982850662.20851,GDP in current USD,Ghana
1999,7718109982.26093,GDP in current USD,Ghana
1998,7482069162.42008,GDP in current USD,Ghana
1997,6891443192.24985,GDP in current USD,Ghana
1996,6932991739.37767,GDP in current USD,Ghana
1995,6464382807.67884,GDP in current USD,Ghana
1994,5446383726.77047,GDP in current USD,Ghana
1993,5968922939.37198,GDP in current USD,Ghana
1992,6416103925.83267,GDP in current USD,Ghana
1991,6603185267.79643,GDP in current USD,Ghana
1990,5889106573.46088,GDP in current USD,Ghana
1989,5251858439.874,GDP in current USD,Ghana
1988,5197765031.64557,GDP in current USD,Ghana
1987,5074829931.97279,GDP in current USD,Ghana
1986,5735677433.82683,GDP in current USD,Ghana
1985,4504306722.68908,GDP in current USD,Ghana
1984,4412279843.44423,GDP in current USD,Ghana
1983,4057275132.27513,GDP in current USD,Ghana
1982,4035994397.7591,GDP in current USD,Ghana
1981,4222441860.46512,GDP in current USD,Ghana
1980,4445228215.76763,GDP in current USD,Ghana
1979,4020227920.22792,GDP in current USD,Ghana
1978,3662478184.99127,GDP in current USD,Ghana
1977,3189428571.42857,GDP in current USD,Ghana
1976,2765254237.28814,GDP in current USD,Ghana
1975,2810106382.97872,GDP in current USD,Ghana
1974,2894409937.8882,GDP in current USD,Ghana
1973,3006766758.43977,GDP in current USD,Ghana
1972,2112293279.98507,GDP in current USD,Ghana
1971,2417108577.52739,GDP in current USD,Ghana
1970,2215028588.45646,GDP in current USD,Ghana
1969,1962050555.7775,GDP in current USD,Ghana
1968,1666909517.65205,GDP in current USD,Ghana
1967,1747187644.9031,GDP in current USD,Ghana
1966,2126300672.22965,GDP in current USD,Ghana
